Model,rmse,interval_length,coverage,mu_type,effect_type,sample_size
BCF,0.0333470973497891,0.549086148481672,1.0,linear,homogeneous,250
BCF,0.0961554722048801,0.706562037476342,1.0,linear,homogeneous,250
BCF,0.0083678802325062,0.515924153880024,1.0,linear,homogeneous,250
BCF,0.0330756971917934,0.713728511228487,1.0,linear,homogeneous,250
BCF,0.247221199942973,0.882356157467155,0.872,linear,homogeneous,250
BCF,0.0464711863705571,0.506017759716269,0.992,linear,homogeneous,250
BCF,0.0281949536885566,0.616178060044959,1.0,linear,homogeneous,250
BCF,0.112674140593481,0.730908525391257,0.972,linear,homogeneous,250
BCF,0.142685542459927,0.712311557470576,0.988,linear,homogeneous,250
BCF,0.0198867995596683,0.538950839561129,1.0,linear,homogeneous,250
BCF,0.11593495602422,0.69441412046354,0.98,linear,homogeneous,250
BCF,0.0415763800451372,0.590536612450533,0.976,linear,homogeneous,250
BCF,0.0214060848131652,0.774459404206941,1.0,linear,homogeneous,250
BCF,0.0147487139245004,0.504583756544199,1.0,linear,homogeneous,250
BCF,0.178782305133367,0.672570733725229,0.936,linear,homogeneous,250
BCF,0.08122846787326,0.745817283673707,0.992,linear,homogeneous,250
BCF,0.0239527795567533,0.77087316931012,1.0,linear,homogeneous,250
BCF,0.0404430860244727,0.53040425236344,0.98,linear,homogeneous,250
BCF,0.0296823500931027,0.601230834535486,1.0,linear,homogeneous,250
BCF,0.087038204875082,0.614250840860906,0.964,linear,homogeneous,250
BCF,0.162492938140166,1.62096334325005,0.948,linear,heterogeneous,250
BCF,0.0621202071251434,1.36614135283227,0.94,linear,heterogeneous,250
BCF,0.0617940756020623,1.29728211451732,0.872,linear,heterogeneous,250
BCF,0.0039497337987897,1.05493965584067,0.98,linear,heterogeneous,250
BCF,0.110240775429673,1.76445451069741,0.888,linear,heterogeneous,250
BCF,0.0475733842316786,1.4676696027156,0.98,linear,heterogeneous,250
BCF,0.0260041570339815,1.1715724009996,0.912,linear,heterogeneous,250
BCF,0.13228476454142,1.34022195581457,0.94,linear,heterogeneous,250
BCF,0.175511632378491,1.47965442036827,0.944,linear,heterogeneous,250
BCF,0.0740991999429877,1.3821914020376,0.976,linear,heterogeneous,250
BCF,0.179908204376156,1.38311620721578,0.928,linear,heterogeneous,250
BCF,0.259451321798281,1.51961054743542,0.916,linear,heterogeneous,250
BCF,0.0289909836889723,1.32493138784454,0.944,linear,heterogeneous,250
BCF,0.0338806814912156,1.40537336339437,0.98,linear,heterogeneous,250
BCF,0.0235839956258479,1.67715442463954,0.932,linear,heterogeneous,250
BCF,0.0410024501537194,1.50986535977167,0.944,linear,heterogeneous,250
BCF,0.0188581015367173,1.22609623896115,0.964,linear,heterogeneous,250
BCF,0.0156530140743342,1.23618091161837,0.932,linear,heterogeneous,250
BCF,0.1008411325627,1.47912821386387,0.92,linear,heterogeneous,250
BCF,0.11023852025472,1.34833203241399,0.988,linear,heterogeneous,250
BCF,0.0960794513400929,0.722361274626763,0.98,nonlinear,homogeneous,250
BCF,0.007048052192391,0.748252571793213,1.0,nonlinear,homogeneous,250
BCF,0.2476033216997,1.13306602196326,0.956,nonlinear,homogeneous,250
BCF,0.04853419183832,0.881193683697963,1.0,nonlinear,homogeneous,250
BCF,0.0725025409565778,0.816799892985185,0.976,nonlinear,homogeneous,250
BCF,0.079603874371581,0.88238500458271,1.0,nonlinear,homogeneous,250
BCF,0.0128134719924984,0.70585629582019,1.0,nonlinear,homogeneous,250
BCF,0.0628221602296475,0.904793258697156,1.0,nonlinear,homogeneous,250
BCF,0.0129662863520266,0.603743255454786,1.0,nonlinear,homogeneous,250
BCF,0.0834104822181052,0.669085663396535,0.968,nonlinear,homogeneous,250
BCF,0.17928864545963,1.04278470940449,1.0,nonlinear,homogeneous,250
BCF,0.175973413688245,0.923238278716922,0.98,nonlinear,homogeneous,250
BCF,0.126728470683585,0.800065802185226,0.98,nonlinear,homogeneous,250
BCF,0.0258620059660526,0.696085800181279,0.98,nonlinear,homogeneous,250
BCF,0.226023464093836,0.941292700664225,0.98,nonlinear,homogeneous,250
BCF,0.0819393387572922,0.634005627156722,0.98,nonlinear,homogeneous,250
BCF,0.257743575235557,0.813125517442847,0.928,nonlinear,homogeneous,250
BCF,0.125120765404029,0.887327484941312,1.0,nonlinear,homogeneous,250
BCF,0.0549561159593526,0.755799439313272,1.0,nonlinear,homogeneous,250
BCF,0.0302131336079459,0.578568750895142,1.0,nonlinear,homogeneous,250
BCF,0.0206474849382234,1.69838727119545,0.956,nonlinear,heterogeneous,250
BCF,0.0717331665661981,1.51442489859651,0.968,nonlinear,heterogeneous,250
BCF,0.0839358413263702,1.85696950376853,0.956,nonlinear,heterogeneous,250
BCF,0.217548179744024,1.73084597947994,0.92,nonlinear,heterogeneous,250
BCF,0.10483549677802,1.56457728249875,0.952,nonlinear,heterogeneous,250
BCF,0.0012872539505595,1.80711760782305,0.972,nonlinear,heterogeneous,250
BCF,0.144008207868188,1.83524403509839,0.948,nonlinear,heterogeneous,250
BCF,0.128321385785925,1.71461358676268,0.936,nonlinear,heterogeneous,250
BCF,0.169209119484364,1.55850714110087,0.944,nonlinear,heterogeneous,250
BCF,0.204460143423665,1.60065969607926,0.932,nonlinear,heterogeneous,250
BCF,0.0077324865781172,1.3344484164532,0.952,nonlinear,heterogeneous,250
BCF,0.251122485591035,1.86419465988624,0.916,nonlinear,heterogeneous,250
BCF,0.0474886678658378,1.41438704432776,0.984,nonlinear,heterogeneous,250
BCF,0.0837865451151696,1.55187663008847,0.936,nonlinear,heterogeneous,250
BCF,0.0001133704525961,1.30553031020995,0.96,nonlinear,heterogeneous,250
BCF,0.120824382963107,1.70000785305725,0.96,nonlinear,heterogeneous,250
BCF,0.0295612574326485,1.50649772100168,0.968,nonlinear,heterogeneous,250
BCF,0.114193205997807,1.60832383324595,0.944,nonlinear,heterogeneous,250
BCF,0.317394512202868,1.89950919021943,0.936,nonlinear,heterogeneous,250
BCF,0.101627473791478,1.62023906645772,0.912,nonlinear,heterogeneous,250
BCF,0.0308415395117727,0.281452801018164,0.998,linear,homogeneous,500
BCF,0.0773488949250987,0.300111865557361,0.964,linear,homogeneous,500
BCF,0.05614500048986,0.314821723701284,1.0,linear,homogeneous,500
BCF,0.0003325890679968,0.305169392403119,1.0,linear,homogeneous,500
BCF,0.0014548529588736,0.3293812791755,1.0,linear,homogeneous,500
BCF,0.0696512743408935,0.307073483685456,0.986,linear,homogeneous,500
BCF,0.0250779742720297,0.342137570285103,1.0,linear,homogeneous,500
BCF,0.0326362370736839,0.308500033132403,1.0,linear,homogeneous,500
BCF,0.0495950013337287,0.403815869515079,0.984,linear,homogeneous,500
BCF,0.0283591212887844,0.310017152829483,1.0,linear,homogeneous,500
BCF,0.0396501910437235,0.305239407314149,0.998,linear,homogeneous,500
BCF,0.0202311521651093,0.396825118567113,0.984,linear,homogeneous,500
BCF,0.0264998328299426,0.347905265972213,0.986,linear,homogeneous,500
BCF,0.0240293567961354,0.324474794263005,0.998,linear,homogeneous,500
BCF,0.0601835458939943,0.363315549949575,0.974,linear,homogeneous,500
BCF,0.0354134262516039,0.367752888527748,0.958,linear,homogeneous,500
BCF,0.0415544684534952,0.378217589311712,1.0,linear,homogeneous,500
BCF,0.0322226781893158,0.300755591926584,0.984,linear,homogeneous,500
BCF,0.0193495961785164,0.321716428654813,1.0,linear,homogeneous,500
BCF,0.0505526093341846,0.343983352757505,0.984,linear,homogeneous,500
BCF,0.105674271732475,0.860167128813276,0.952,linear,heterogeneous,500
BCF,0.0680435422325989,0.74940022091543,0.966,linear,heterogeneous,500
BCF,0.047083893299837,0.823963939002004,0.974,linear,heterogeneous,500
BCF,0.0617202580257605,0.882239553730085,0.972,linear,heterogeneous,500
BCF,0.0235438359322054,0.853016735066038,0.932,linear,heterogeneous,500
